Place,Parent,MapSheet,UF,BT
Mount Dare,SA Central Australia,G5311,"Dare, Mount",Dalhousie map area (SA Central Australia SG53-11)
Oasis Bore,SA Central Australia,G5311,,Dalhousie map area (SA Central Australia SG53-11)
Witjira National Park,SA Central Australia,G5311,,Dalhousie map area (SA Central Australia SG53-11)
Poolowanna map area,SA Central Australia,G5312,,"South Australia - Central Australia (SA SG52, SG53)"
Poeppels Corner,SA Central Australia ,G5312,,Poolowanna map area (SA Central Australia SG53-12)
Poeppels Corner,SA Central Australia ,G5308,,Poolowanna map area (SA Central Australia SG53-12)
Poolowanna,SA Central Australia,G5312,,Poolowanna map area (SA Central Australia SG53-12)
Birksgate map area,SA Central Australia,G5215,,"South Australia - Central Australia (SA SG52, SG53)"
Birksgate Range,SA Central Australia,G5215,,Birksgate map area (SA Central Australia SG52-15)
Ilturnga / Coffin Hill,SA Central Australia,G5215,Coffin Hill,Birksgate map area (SA Central Australia SG52-15)
Wartaru / Mount Lindsay,SA Central Australia,G5215,"Mount Lindsay;Lindsay, Mount",Birksgate map area (SA Central Australia SG52-15)
Lindsay map area,SA Central Australia,G5216,,"South Australia - Central Australia (SA SG52, SG53)"
Officer Creek,SA Central Australia ,G5216,,Lindsay map area (SA Central Australia SG52-16)
Officer Creek,SA Central Australia ,G5313,,Lindsay map area (SA Central Australia SG52-16)
Everard map area,SA Central Australia,G5313,,"South Australia - Central Australia (SA SG52, SG53)"
Mimili / Everard Park,SA Central Australia,G5313,Everard Park,Everard map area (SA Central Australia SG53-13)
Everard Ranges,SA Central Australia,G5313,,Everard map area (SA Central Australia SG53-13)
Wintinna map area,SA Central Australia,G5314,,"South Australia - Central Australia (SA SG52, SG53)"
Arckaringa,SA Central Australia,G5314,,Wintinna map area (SA Central Australia SG53-14)
Mount Willoughby,SA Central Australia,G5314,"Willoughby, Mount",Wintinna map area (SA Central Australia SG53-14)
Todmorden,SA Central Australia,G5314,,Wintinna map area (SA Central Australia SG53-14)
Welbourn Hill,SA Central Australia,G5314,,Wintinna map area (SA Central Australia SG53-14)
Wintinna,SA Central Australia,G5314,,Wintinna map area (SA Central Australia SG53-14)
Oodnadatta map area,SA Central Australia,G5315,,"South Australia - Central Australia (SA SG52, SG53)"
Macumba,SA Central Australia,G5315,,Oodnadatta map area (SA Central Australia SG53-15)
Mount Dutton,SA Central Australia,G5315,"Dutton, Mount",Oodnadatta map area (SA Central Australia SG53-15)
Oodnadatta,SA Central Australia,G5315,,Oodnadatta map area (SA Central Australia SG53-15)
The Neales,SA Central Australia,G5315,Neales,Oodnadatta map area (SA Central Australia SG53-15)
Noolyeana map area,SA Central Australia,G5316,,"South Australia - Central Australia (SA SG52, SG53)"
Noorina map area,Far West SA,H5203,,"South Australia - Far West (SA SH52, SI52)"
Bringyna,Far West SA,H5203,,Noorina map area (Far West SA SH52-03)
Serpentine Lakes,Far West SA,H5203,,Noorina map area (Far West SA SH52-03)
Wells map area,Far West SA,H5204,,"South Australia - Far West (SA SH52, SI52)"
Wyola map area,Far West SA,H5207,,"South Australia - Far West (SA SH52, SI52)"
Maurice map area,Far West SA,H5208,,"South Australia - Far West (SA SH52, SI52)"
Lake Dey Dey,Far West SA,H5208,"Dey Dey, Lake",Maurice map area (Far West SA SH52-08)
Lake Maurice,Far West SA,H5208,"Maurice, Lake",Maurice map area (Far West SA SH52-08)
Cook map area,Far West SA,H5211,,"South Australia - Far West (SA SH52, SI52)"
Ooldea map area,Far West SA,H5212,,"South Australia - Far West (SA SH52, SI52)"
Maralinga,Far West SA,H5212,,Ooldea map area (Far West SA SH52-12)
Oak Valley,Far West SA,H5212,,Ooldea map area (Far West SA SH52-12)
Ooldea,Far West SA,H5212,,Ooldea map area (Far West SA SH52-12)
Coompana map area,Far West SA Nullarbor,H5215,,"South Australia - Far West (SA SH52, SI52)"
Allens Cave,Far West SA Nullarbor,H5215,,Coompana map area (Far West SA Nullarbor SH52-15)
Koomooloobooka Cave,Far West SA Nullarbor,H5215,,Coompana map area (Far West SA Nullarbor SH52-15)
Koonalda Cave,Far West SA Nullarbor,H5215,Goonalda Cave,Coompana map area (Far West SA Nullarbor SH52-15)
Nullarbor map area,Far West SA,H5216,,"South Australia - Far West (SA SH52, SI52)"
Bidjoola Cave,Far West SA Nullarbor,H5216,,Nullarbor map area (Far West SA SH52-16)
Knowles Cave,Far West SA Nullarbor,H5216,,Nullarbor map area (Far West SA SH52-16)
Murrawijinie Caves,Far West Nullarbor SA,H5216,,Nullarbor map area (Far West SA SH52-16)
Yalata,"Far West SA Nullarbor SH52-16, Nullarbor",H5216,,Nullarbor map area (Far West SA SH52-16)
Yalata,"Far West SA Nullarbor SH52-16, Nullarbor",H5313,,Nullarbor map area (Far West SA SH52-16)
Giles map area,North West Central SA,H5301,,"South Australia - West (SA SH53, SI53)"
Murloocoppie map area,North West Central SA,H5302,,"South Australia - West (SA SH53, SI53)"
Mabel Creek,North West Central SA,H5302,,Murloocoppie map area (North West Central SA SH53-02)
Warrina map area,North West Central SA,H5303,,"South Australia - West (SA SH53, SI53)"
Anna Creek,North West Central SA,H5303,,Warrina map area (North West Central SA SH53-03)
Edwards Creek,North West Central SA,H5303,,Warrina map area (North West Central SA SH53-03)
Warrina,North West Central SA,H5303,,Warrina map area (North West Central SA SH53-03)
Lake Eyre map area,NE SA,H5304,,"North East South Australia (NE SA SG54, SH54)"
Kati Thanda / Lake Eyre,NE SA,H5304,"Lake Eyre;Eyre, Lake",Lake Eyre map area (NE SA SH53-04)
Tallaringa map area,West SA,H5305,,"South Australia - West (SA SH53, SI53)"
Tallaringa,West SA,H5305,,Tallaringa map area (West SA SH53-05)
Coober Pedy map area,West SA,H5306,,"South Australia - West (SA SH53, SI53)"
Lake Phillipson,West SA,H5306,"Phillipson, Lake",Coober Pedy map area (West SA SH53-06)
Umoona / Coober Pedy,West SA,H5306,Coober Pedy,Coober Pedy map area (West SA SH53-06)
Billa Kalina map area,West SA,H5307,,"South Australia - West (SA SH53, SI53)"
Lake William,West SA,H5307,"William, Lake",Billa Kalina map area (West SA SH53-07)
Curdimurka map area,West SA,H5308,,"South Australia - West (SA SH53, SI53)"
Bopeechee,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Coward Springs,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Davenport Springs,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Curdimurka,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Finniss Springs,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Hamilton Hill,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Linda Creek,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Pangki Warruna / Strangways Springs,West SA,H5308,Strangways Springs,Curdimurka map area (West SA SH53-08)
Stuarts Creek,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Wangianna,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Welcome Springs,West SA,H5308,,Curdimurka map area (West SA SH53-08)
Barton map area,West SA,H5309,,"South Australia - West (SA SH53, SI53)"
Koonibba,West SA,H5309,,Barton map area (West SA SH53-09)
Pidinga,West SA,H5309,,Barton map area (West SA SH53-09)
Tarcoola map area,West SA,H5310,,"South Australia - West (SA SH53, SI53)"
Tarcoola,West SA,H5310,,Tarcoola map area (West SA SH53-10)
Kingoonya map area,West SA,H5311,,"South Australia - West (SA SH53, SI53)"
Gosse Range,West SA,H5311,,Kingoonya map area (West SA SH53-11)
Kingoonya,West SA,H5311,,Kingoonya map area (West SA SH53-11)
Mount Eba,West SA,H5311,"Eba, Mount",Kingoonya map area (West SA SH53-11)
Andamooka map area,West SA,H5312,,"South Australia - West (SA SH53, SI53)"
Andamooka,West SA,H5312,,Andamooka map area (West SA SH53-12)
Roxby Downs / Olympic Dam,West SA,H5312,Olympic Dam,Kingoonya map area (West SA SH53-11)
Fowler map area,West SA,H5313,,"South Australia - West (SA SH53, SI53)"
Fowlers Bay,West SA,H5313,,Fowler map area (West SA SH53-13)
Penong,West SA,H5313,,Fowler map area (West SA SH53-13)
Childara map area,West SA,H5314,,"South Australia - West (SA SH53, SI53)"
Gairdner map area,West SA,H5315,,"South Australia - West (SA SH53, SI53)"
Lake Hart,West SA,H5315,"Hart, Lake",Gairdner map area (West SA SH53-15)
Mintubi / Mintabie,West SA,G5315,Mintabie,Gairdner map area (West SA SH53-15)
Torrens map area,West SA,H5316,,"South Australia - West (SA SH53, SI53)"
Arcoona,West SA,H5316,,Torrens map area (West SA SH53-16)
Lake Torrens,West SA ,H5312,"Torrens, Lake",Torrens map area (West SA SH53-16)
Lake Torrens,West SA ,H5316,"Torrens, Lake",Torrens map area (West SA SH53-16)
Pimba,West SA,H5316,,Torrens map area (West SA SH53-16)
Woomera,West SA,H5316,,Torrens map area (West SA SH53-16)
Nuyts map area,West SA,I5301,,"South Australia - West (SA SH53, SI53)"
Streaky Bay map area,West SA,I5302,,"South Australia - West (SA SH53, SI53)"
Ceduna,West SA,I5302,,Streaky Bay map area (West SA SI53-02)
Denial Bay,West SA,I5302,,Streaky Bay map area (West SA SI53-02)
Murat Bay,West SA,I5302,,Streaky Bay map area (West SA SI53-02)
Streaky Bay,West SA,I5302,,Streaky Bay map area (West SA SI53-02)
Wirrulla,West SA,I5302,,Streaky Bay map area (West SA SI53-02)
Yardea map area,West SA,I5303,,"South Australia - West (SA SH53, SI53)"
Gawler Ranges,West SA,I5303,,Yardea map area (West SA SI53-03)
Rowes Dams,West SA,I5303,,Yardea map area (West SA SI53-03)
Yardea,West SA,I5303,,Yardea map area (West SA SI53-03)
Port Augusta map area,West SA,I5304,,"South Australia - West (SA SH53, SI53)"
Davenport,West SA,I5304,,Port Augusta map area (West SA SI53-04)
Dempseys Lake,West SA,I5304,,Port Augusta map area (West SA SI53-04)
Iron Knob,West SA,I5304,,Port Augusta map area (West SA SI53-04)
Port Augusta,West SA,I5304,,Port Augusta map area (West SA SI53-04)
Umeewarra,West SA,I5304,,Port Augusta map area (West SA SI53-04)
Elliston map area,West SA,I5306,,"South Australia - West (SA SH53, SI53)"
Elliston / Waterloo Bay,West SA,I5306,Waterloo Bay,Elliston map area (West SA SI53-06)
Kimba map area,West SA,I5307,,"South Australia - West (SA SH53, SI53)"
Whyalla map area,West SA,I5308,,"South Australia - West (SA SH53, SI53)"
Port Pirie,West SA,I5308,"Pirie, Port",Whyalla map area (West SA SI53-08)
Whyalla,West SA,I5308,,"Whyalla map area (SE SA SI54, SJ54)"
Lincoln map area / Eyre Peninsula,West SA,I5311,,"South Australia - West (SA SH53, SI53)"
Coffin Bay,West SA,I5311,,Lincoln map area / Eyre Peninsula (West SA SI53-11)
Mount Dutton Bay,West SA,I5311,,Lincoln map area / Eyre Peninsula (West SA SI53-11)
Poonindie,West SA,I5311,,Lincoln map area / Eyre Peninsula (West SA SI53-11)
Port Lincoln,West SA,I5311,"Lincoln, Port",Lincoln map area / Eyre Peninsula (West SA SI53-11)
Pandie-Pandie map area,NE SA,G5409,,"North East South Australia (NE SA SG54, SH54)"
Goyder Lagoon,NE SA,G5409,,Pandie-Pandie map area (NE SA SG54-09)
Pandie-Pandie,NE SA,G5409,,Pandie-Pandie map area (NE SA SG54-09)
Warburton River,NE SA,G5409,,Pandie-Pandie map area (NE SA SG54-09)
Cordillo map area,NE SA,G5410,,"North East South Australia (NE SA SG54, SH54)"
Federal Waterhole,NE SA,G5410,,Cordillo map area (NE SA SG54-10)
Gason map area,NE SA,G5413,,"North East South Australia (NE SA SG54, SH54)"
Clifton Hills,NE SA,G5413,,Gason map area (NE SA SG54-13)
Cowarie,NE SA,G5413,,Gason map area (NE SA SG54-13)
Kalamurina,NE SA,G5413,,Gason map area (NE SA SG54-13)
Lake Perigundi,NE SA,G5413,"Perigundi, Lake",Gason map area (NE SA SG54-13)
Innamincka map area,NE SA,G5414,,"North East South Australia (NE SA SG54, SH54)"
Coongie,NE SA,G5414,,Innamincka map area (NE SA SG54-14)
Innamincka,NE SA,G5414,,Innamincka map area (NE SA SG54-14)
Kopperamanna map area,NE SA,H5401,,"North East South Australia (NE SA SG54, SH54)"
Etadunna,NE SA,H5401,,Kopperamanna map area (NE SA SH54-01)
Kopperamanna / Killalpaninna,NE SA,H5401,Killalpaninna,Kopperamanna map area (NE SA SH54-01)
Mulka,NE SA,H5401,,Kopperamanna map area (NE SA SH54-01)
Mungeranie,NE SA,H5401,,Kopperamanna map area (NE SA SH54-01)
Ooroowilanie,NE SA,H5401,,Kopperamanna map area (NE SA SH54-01)
Tankamarrina,NE SA,H5401,,Kopperamanna map area (NE SA SH54-01)
Strzelecki map area,NE SA,H5402,,"North East South Australia (NE SA SG54, SH54)"
Marree map area,NE SA,H5405,,"North East South Australia (NE SA SG54, SH54)"
Deception Gorge,NE SA,H5405,,Marree map area (NE SA SH54-05)
Dulkaninna,NE SA,H5405,,Marree map area (NE SA SH54-05)
Marree,NE SA,H5405,Hergott Springs,Marree map area (NE SA SH54-05)
Callabonna map area,NE SA,H5406,,"North East South Australia (NE SA SG54, SH54)"
Lake Callabonna,NE SA,H5406,"Maliga Lake;Callabonna, Lake",Callabonna map area (NE SA SH54-06)
Mount Hopeless,NE SA,H5406,"Hopeless, Mount",Callabonna map area (NE SA SH54-06)
Copley map area,NE SA Flinders Ranges,H5409,,"North East South Australia (NE SA SG54, SH54)"
Angepena,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Aroona,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Beltana,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Chambers Creek / Gorge,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Copley,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Deception Creek,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Farina,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Vulkathunha / Gammon Ranges,NE SA Flinders Ranges,H5409,Gammon Ranges,Copley map area (NE SA Flinders Ranges SH54-09)
Italowie,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Leigh Creek,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Lyndhurst,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Malkaia,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Minerawuta / Ram Paddock,NE SA Flinders Ranges,H5409,Ram Paddock,Copley map area (NE SA Flinders Ranges SH54-09)
Mount Serle,NE SA Flinders Ranges,H5409,"Serle, Mount",Copley map area (NE SA Flinders Ranges SH54-09)
Nepabunna,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Prism Hill,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Termination Hill,NE SA Flinders Ranges,H5409,,Copley map area (NE SA Flinders Ranges SH54-09)
Frome map area,NE SA,H5410,,"North East South Australia (NE SA SG54, SH54)"
Lake Frome,NE SA,H5410,"Frome, Lake",Frome map area (NE SA SH54-10)
Parachilna map area,NE SA Flinders Ranges,H5413,,"North East South Australia (NE SA SG54, SH54)"
Arkaroo,NE SA Flinders Ranges,H5413,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Blinman,NE SA Flinders Ranges,H5413,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Flinders Ranges,NE SA ,H5409,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Flinders Ranges,NE SA ,H5413,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Hawker,NE SA Flinders Ranges,H5413,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Nilpena,NE SA Flinders Ranges,H5413,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Parachilna,NE SA Flinders Ranges,H5413,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Wilpena,NE SA Flinders Ranges,H5413,,Parachilna map area (NE SA Flinders Ranges SH54-13)
Curnamona map area,NE SA,H5414,,"North East South Australia (NE SA SG54, SH54)"
Wyening,NE SA,H5414,,Curnamona map area (NE SA SH54-14)
Orroroo map area,SE SA,I5401,,"South East South Australia (SE SA SI54, SJ54)"
Melton,SE SA,I5401,,Orroroo map area (SE SA SI54-01)
Morowie,SE SA,I5401,,Orroroo map area (SE SA SI54-01)
Nackara,SE SA,I5401,,Orroroo map area (SE SA SI54-01)
Peterborough,SE SA,I5401,,Orroroo map area (SE SA SI54-01)
Quorn,SE SA,I5401,,Orroroo map area (SE SA SI54-01)
Willochra,SE SA,I5401,,Orroroo map area (SE SA SI54-01)
Olary map area,SE SA,I5402,,"South East South Australia (SE SA SI54, SJ54)"
Bimbowrie / Cathedral Rock,SE SA,I5402,Cathedral Rock,Olary map area (SE SA SI54-02)
Florina,SE SA,I5402,,Olary map area (SE SA SI54-02)
Karolta,SE SA,I5402,,Olary map area (SE SA SI54-02)
Mannahill,SE SA,I5402,,Olary map area (SE SA SI54-02)
Morialpa,SE SA,I5402,,Olary map area (SE SA SI54-02)
Mount Victor,SE SA,I5402,"Victor, Mount",Olary map area (SE SA SI54-02)
Olary,SE SA,I5402,,Olary map area (SE SA SI54-02)
Oulnina,SE SA,I5402,,Olary map area (SE SA SI54-02)
Panaramitee,SE SA,I5402,Rock Holes,Olary map area (SE SA SI54-02)
Plumbago / Ethiudna,SE SA,I5402,Ethiudna,Olary map area (SE SA SI54-02)
Tattawuppa,SE SA,I5402,,Olary map area (SE SA SI54-02)
Teetulpa,SE SA,I5402,,Olary map area (SE SA SI54-02)
Winnininnie,SE SA,I5402,,Olary map area (SE SA SI54-02)
Yunta,SE SA,I5402,,Olary map area (SE SA SI54-02)
Burra map area,SE SA,I5405,,"South East South Australia (SE SA SI54, SJ54)"
Burra,SE SA,I5405,,Burra map area (SE SA SI54-05)
Clare,SE SA,I5405,,Burra map area (SE SA SI54-05)
Crystal Brook,SE SA,I5405,,Burra map area (SE SA SI54-05)
Hog Back Range,SE SA,I5405,,Burra map area (SE SA SI54-05)
Huddleston,SE SA,I5405,,Burra map area (SE SA SI54-05)
Ketchowla,SE SA,I5405,,Burra map area (SE SA SI54-05)
Chowilla map area,SE SA,I5406,,"South East South Australia (SE SA SI54, SJ54)"
Chowilla,SE SA,I5406,,Chowilla map area (SE SA SI54-06)
Yorke Peninsula / Maitland map area,SE SA ,I5312,Maitland map area,"South East South Australia (SE SA SI54, SJ54)"
Yorke Peninsula / Maitland map area,SE SA ,I5316,Maitland map area,"South East South Australia (SE SA SI54, SJ54)"
Bookayana / Point Pearce,SE SA,I5312,"Point Pearce;Pearce, Point","Yorke Peninsula / Maitland map area (SE SA SI53-12, SI53-16)"
Moonta,SE SA,I5312,,"Yorke Peninsula / Maitland map area (SE SA SI53-12, SI53-16)"
Port Victoria,SE SA,I5312,"Victoria, Port","Yorke Peninsula / Maitland map area (SE SA SI53-12, SI53-16)"
Adelaide map area,SE SA,I5409,,"South East South Australia (SE SA SI54, SJ54)"
Adelaide,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Balaklava,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Barossa,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Gawler,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Hamley Bridge,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Macclesfield,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
McLaren Vale,SE SA,I5413,,Adelaide map area (SE SA SI54-09)
Mannum,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Marne River / Eden Valley,SE SA,I5409,Eden Springs;Eden Valley,Adelaide map area (SE SA SI54-09)
Mount Lofty Ranges,SE SA,I5409,Lofty Ranges,Adelaide map area (SE SA SI54-09)
Noarlunga,SE SA,I5413,,Adelaide map area (SE SA SI54-09)
Nuriootpa,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Onkaparinga River,SE SA,I5413,,Adelaide map area (SE SA SI54-09)
South Para River,SE SA,I5409,"Para River, South",Adelaide map area (SE SA SI54-09)
William Creek,SE SA,I5409,,Adelaide map area (SE SA SI54-09)
Renmark map area,SE SA,I5410,,"South East South Australia (SE SA SI54, SJ54)"
Barmera,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Berri,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Blanchetown,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Devon Downs,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Fromms Landing,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Lake Bonney,SE SA,I5410,"Bonney, Lake",Renmark map area (SE SA SI54-10)
Manunka,"Forster, SE SA",I5410,,Renmark map area (SE SA SI54-10)
Moorundie,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Renmark,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Roonka,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Swan Reach / Gerard,SE SA,I5410,Gerard,Renmark map area (SE SA SI54-10)
Tartanga,SE SA,I5410,,Renmark map area (SE SA SI54-10)
Barker map area,SE SA,I5413,,"South East South Australia (SE SA SI54, SJ54)"
Coorong,SE SA ,I5413,,Barker map area (SE SA SI54-13)
Coorong,SE SA ,J5402,,Barker map area (SE SA SI54-13)
Encounter Bay,SE SA,I5413,,Barker map area (SE SA SI54-13)
Fleurieu Peninsula,SE SA,I5413,,Barker map area (SE SA SI54-13)
Aldinga,Fleurieu Peninsula SE SA,I5413,,Fleurieu Peninsula (SE SA SI54-13)
Cape Jervis,Fleurieu Peninsula SE SA,I5413,"Jervis, Cape",Fleurieu Peninsula (SE SA SI54-13)
Goolwa,Fleurieu Peninsula SE SA,I5413,,Fleurieu Peninsula (SE SA SI54-13)
Myponga,Fleurieu Peninsula SE SA,I5413,,Fleurieu Peninsula (SE SA SI54-13)
Rapid Bay,Fleurieu Peninsula SE SA,I5413,,Fleurieu Peninsula (SE SA SI54-13)
Victor Harbor,Fleurieu Peninsula SE SA,I5413,,Fleurieu Peninsula (SE SA SI54-13)
Yankalilla,Fleurieu Peninsula SE SA,I5413,,Fleurieu Peninsula (SE SA SI54-13)
Lake Alexandrina / Lake Albert,SE SA,I5413,"Alexandrina, Lake;Lake Albert;Albert, Lake",Barker map area (SE SA SI54-13)
Kumarangk / Hindmarsh Island,SE SA,I5413,Hindmarsh Island,Lake Alexandrina / Lake Albert (SE SA SI54-13)
Meningie,SE SA,I5413,,Lake Alexandrina / Lake Albert (SE SA SI54-13)
Raukkan / Point McLeay,SE SA,I5413,"Point McLeay;McLeay, Point",Lake Alexandrina / Lake Albert (SE SA SI54-13)
Mount Barker,SE SA,I5413,"Barker, Mount",Barker map area (SE SA SI54-13)
Murray Bridge,SE SA,I5413,,Barker map area (SE SA SI54-13)
Tailem Bend,SE SA,I5413,,Barker map area (SE SA SI54-13)
Pinnaroo map area,SE SA,I5414,,"South East South Australia (SE SA SI54, SJ54)"
Pinnaroo,SE SA,I5414,,Pinnaroo map area (SE SA SI54-14)
Naracoorte map area,SE SA,J5402,,"South East South Australia (SE SA SI54, SJ54)"
Bordertown,SE SA,J5402,,Narracoorte map area (SE SA SJ54-02)
Lucindale,SE SA,J5402,,Narracoorte map area (SE SA SJ54-02)
Naracoorte,SE SA,J5402,,Naracoorte map area (SE SA SJ54-02)
Penola map area,SE SA,J5406,,"South East South Australia (SE SA SI54, SJ54)"
Wirmalingarang / Beachport / Rivoli Bay,SE SA,J5406,"Beachport;Cape Martin;Rivoli Bay;Martin, Cape",Penola map area (SE SA SJ54-06)
Bevilaqua Cliffs,SE SA,J5406,,Penola map area (SE SA SJ54-06)
Cape Northumberland,SE SA,J5406,"Northumberland, Cape",Penola map area (SE SA SJ54-06)
Tangalun / Kingston SE / Lacepede Bay,SE SA,J5402,Lacepede Bay;Kingston SE / Lacepede Bay,Naracoorte map area (SE SA SJ54-02)
Millicent,SE SA,J5406,,Penola map area (SE SA SJ54-06)
Koongine,SE SA,J5406,,Penola map area (SE SA SJ54-06)
Malangine,SE SA,J5406,,Penola map area (SE SA SJ54-06)
Mount Burr,SE SA,J5406,"Burr, Mount",Penola map area (SE SA SJ54-06)
Berrin / Mount Gambier,SE SA,J5406,"Mount Gambier;Gambier, Mount",Penola map area (SE SA SJ54-06)
Penola,SE SA,J5406,,Penola map area (SE SA SJ54-06)
Port MacDonnell,SE SA,J5406,"MacDonnell, Port;McDonnell, Port",Penola map area (SE SA SJ54-06)
Robe / Guichen Bay,SE SA,J5406,Guichen Bay,Penola map area (SE SA SJ54-06)
Woakwine,SE SA,J5406,,Penola map area (SE SA SJ54-06)
Wyrie Swamp,SE SA,J5406,,Penola map area (SE SA SJ54-06)
Kangaroo Island,SE SA,I5316,Karta,Kingscote map area (SE SA SI53-16)
Cape Hart,SE SA Kangaroo Island,I5413,"Hart, Cape","Kangaroo Island (SE SA SI53-16, SI54-13, SJ53-04)"
Seton Cave,SE SA Kangaroo Island,I5316,,"Kangaroo Island (SE SA SI53-16, SI54-13, SJ53-04)"
Albany Island,Qld Far North Cape York,C5412,, Queensland Far North Cape York (Qld SC54)
Bamaga,Qld Far North Cape York,C5411,,Queensland Far North Cape York (Qld SC54)
Evans Bay,Qld Far North Cape York,C5412,,Queensland Far North Cape York (Qld SC54)
New Mapoon,Bamaga Qld Far North Cape York,C5411,"Mapoon, New",Queensland Far North Cape York (Qld SC54)
Seisia,Bamaga Qld Far North Cape York,C5411,,Queensland Far North Cape York (Qld SC54)
Somerset,Qld Far North Cape York,C5412,,Queensland Far North Cape York (Qld SC54)
Umagico,Bamaga Qld Far North Cape York,C5411,,Queensland Far North Cape York (Qld SC54)
Jardine River map area,"Qld Far North, NE Cape York, Qld Gulf",C5415,,Queensland Far North Cape York (Qld SC54)
Injinoo / Cowal Creek,Qld Far North Cape York,C5415,Cowal Creek,"Jardine River map area (Qld Far North, NE Cape York, Qld Gulf SC54-15)"
Jardine River,Qld Far North Cape York ,C5415,,"Jardine River map area (Qld Far North, NE Cape York, Qld Gulf SC54-15)"
Jardine River,Qld Far North Cape York ,C5412,,"Jardine River map area (Qld Far North, NE Cape York, Qld Gulf SC54-15)"
Orford Bay map area,"Qld Far North, NE Cape York",C5416,,Queensland Far North Cape York (Qld SC54)
Margaret Bay,"Qld Far North, NE Cape York",C5416,,"Orford Bay map area (Qld Far North, NE Cape York SC54-16)"
Shelburne Bay,"Qld Far North, NE Cape York",C5416,,"Orford Bay map area (Qld Far North, NE Cape York SC54-16)"
Temple Bay,"Qld Far North, NE Cape York",C5416,,"Orford Bay map area (Qld Far North, NE Cape York SC54-16)"
Weipa map area,Qld NW Cape York,D5403,,North west Cape York (Qld SD54)
Amban / Ambun,"Weipa, Qld NW Cape York",D5403,Ambun,Weipa map area (Qld NW Cape York SD54-03)
Bowcha / Mangrove Island,"Weipa, Qld NW Cape York",D5403,Mangrove Island,Weipa map area (Qld NW Cape York SD54-03)
Embley / Hey River,Qld NW Cape York,D5403,Hey River,Weipa map area (Qld NW Cape York SD54-03)
Jessica Point,"Weipa, Qld NW Cape York",D5403,,Weipa map area (Qld NW Cape York SD54-03)
Mapoon,Qld NW Cape York ,C5415,,Weipa map area (Qld NW Cape York SD54-03)
Mapoon,Qld NW Cape York ,D5403,,Weipa map area (Qld NW Cape York SD54-03)
Pennefather River,Qld NW Cape York,D5403,,Weipa map area (Qld NW Cape York SD54-03)
Weipa / Napranum,Qld NW Cape York,D5403,Napranum,Weipa map area (Qld NW Cape York SD54-03)
Wenlock River / Batavia River,Qld NW Cape York ,D5403,Batavia River,Weipa map area (Qld NW Cape York SD54-03)
