000,001,008,035$a,040$a,040$b,040$c,040$e,191$a,491$a,591$w,591$a,670$a 
00279cz  a2200109   4500,XX320,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX320,AIAS,,,,Caledon Bay (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00347cz  a2200121   4500,XX321,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX321,AIAS,,,,Cape Arnhem / Nanydjaka (East Arnhem Land SD53-04),"Arnhem, Cape (East Arnhem Land SD53-04)",g,Gove map area (East Arnhem Land NT SD53-04),
00279cz  a2200109   4500,XX322,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX322,AIAS,,,,Dalywoi Bay (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00275cz  a2200109   4500,XX323,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX323,AIAS,,,,Dhupuma (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00275cz  a2200109   4500,XX324,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX324,AIAS,,,,Donydji (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00274cz  a2200109   4500,XX325,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX325,AIAS,,,,Galupa (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00280cz  a2200109   4500,XX326,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX326,AIAS,,,,Garalangawuy (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00277cz  a2200109   4500,XX327,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX327,AIAS,,,,Gurrumuru (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00280cz  a2200109   4500,XX328,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX328,AIAS,,,,Melville Bay (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00276cz  a2200109   4500,XX329,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX329,AIAS,,,,Munumbal (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00335cz  a2200121   4500,XX330,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX330,AIAS,,,,Nhulunbuy / Gove (East Arnhem Land NT SD53-04),Gove (East Arnhem Land SD53-04),g,Gove map area (East Arnhem Land NT SD53-04),
00339cz  a2200121   4500,XX331,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX331,AIAS,,,,Port Bradshaw (East Arnhem Land SD53-04),"Bradshaw, Port (East Arnhem Land SD53-04)",g,Gove map area (East Arnhem Land NT SD53-04),
00275cz  a2200109   4500,XX332,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX332,AIAS,,,,Rathiya (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00291cz  a2200109   4500,XX333,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX333,AIAS,eng,AIAS,,Trial Bay (East Arnhem Land NT SD53-08),,g,Gove map area (East Arnhem Land NT SD53-04),
00278cz  a2200109   4500,XX334,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX334,AIAS,,,,Yalangbara (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00276cz  a2200109   4500,XX335,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX335,AIAS,,,,Yangunbi (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00276cz  a2200109   4500,XX336,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX336,AIAS,,,,Yirrkala (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00276cz  a2200109   4500,XX337,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX337,AIAS,,,,Yuduyudu (East Arnhem Land SD53-04),,g,Gove map area (East Arnhem Land NT SD53-04),
00260cz  a2200109   4500,XX338,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX338,AIAS,,,,Mount Evelyn map area (Arnhem Land NT SD53-05),,g,Arnhem Land (NT),
00289cz  a2200109   4500,XX339,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX339,AIAS,,,,"Fanny Creek (Arnhem Land NT SD53-05, SD53-09)",,g,Mount Evelyn map area (Arnhem Land NT SD53-05),
00338cz  a2200121   4500,XX340,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX340,AIAS,,,,Mount Gilruth (Arnhem Land NT SD53-05),"Gilruth, Mount (Arnhem Land NT SD53-05)",g,Mount Evelyn map area (Arnhem Land NT SD53-05),
00261cz  a2200109   4500,XX341,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX341,AIAS,,,,Mount Marumba map area (Arnhem Land NT SD53-06),,g,Arnhem Land (NT),
00276cz  a2200109   4500,XX342,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX342,AIAS,,,,Bokolo (Arnhem Land NT SD53-06),,g,Mount Marumba map area (Arnhem Land NT SD53-06),
00278cz  a2200109   4500,XX343,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX343,AIAS,,,,Bolinbim (Arnhem Land NT SD53-06),,g,Mount Marumba map area (Arnhem Land NT SD53-06),
00282cz  a2200109   4500,XX344,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX344,AIAS,,,,Djimdjimrauk (Arnhem Land NT SD53-06),,g,Mount Marumba map area (Arnhem Land NT SD53-06),
00337cz  a2200121   4500,XX345,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX345,AIAS,,,,Goindjimbi / Bulman (Arnhem Land NT SD53-06),Bulman (Arnhem Land NT SD53-06),g,Mount Marumba map area (Arnhem Land NT SD53-06),
00348cz  a2200121   4500,XX346,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX346,AIAS,,,,Malyanganuk / Malyanganak (Arnhem Land NT SD53-06),Malyanganak (Arnhem Land NT SD53-06),g,Mount Marumba map area (Arnhem Land NT SD53-06),
00276cz  a2200109   4500,XX347,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX347,AIAS,,,,Weemol (Arnhem Land NT SD53-06),,g,Mount Marumba map area (Arnhem Land NT SD53-06),
00291cz  a2200109   4500,XX348,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX348,AIAS,,,,"Wilton River (Arnhem Land NT SD53-06, SD53-10)",,g,Mount Marumba map area (Arnhem Land NT SD53-06),
00277cz  a2200109   4500,XX349,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX349,AIAS,,,,Yaimani (Arnhem Land NT SD53-06),,g,Mount Marumba map area (Arnhem Land NT SD53-06),
00265cz  a2200109   4500,XX350,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX350,AIAS,,,,Blue Mud Bay map area (East Arnhem Land NT SD53-07),,g,Arnhem Land (NT),
00284cz  a2200109   4500,XX351,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX351,AIAS,,,,Angurrgi (East Arnhem Land SD53-07),,g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00345cz  a2200121   4500,XX352,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX352,AIAS,,,,Baniyala / Yilpara (East Arnhem Land SD53-07),Yilpara (East Arnhem Land SD53-07),g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00375cz  a2200121   4500,XX353,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX353,AIAS,eng,AIAS,,Milyakburra / Bickerton Island (NT Gulf Islands SD53-07),Bickerton Island (NT Gulf Islands SD53-07),g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00288cz  a2200109   4500,XX354,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX354,AIAS,,,,Blue Mud Bay (East Arnhem Land SD53-07),,g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00343cz  a2200121   4500,XX355,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX355,AIAS,,,,Cape Barrow (East Arnhem Land SD53-07),"Barrow, Cape (East Arnhem Land SD53-07)",g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00265cz  a2200109   4500,XX356,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX356,AIAS,,,,Connexion Island (NT Gulf Islands SD53-07),,g,"Gulf islands (SD53, SE54)",
00282cz  a2200109   4500,XX357,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX357,AIAS,,,,Gangan (East Arnhem Land SD53-07),,g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00282cz  a2200109   4500,XX358,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX358,AIAS,,,,Waldar (East Arnhem Land SD53-07),,g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00288cz  a2200109   4500,XX359,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX359,AIAS,,,,Walker River (East Arnhem Land SD53-07),,g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00264cz  a2200109   4500,XX360,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX360,AIAS,,,,Roper River map area (East Arnhem Land NT SD53-11),,g,Arnhem Land (NT),
00282cz  a2200109   4500,XX361,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX361,AIAS,,,,Marraya (East Arnhem Land SD53-11),,g,Roper River map area (East Arnhem Land NT SD53-11),
00280cz  a2200109   4500,XX362,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX362,AIAS,,,,Miwul (East Arnhem Land SD53-11),,g,Roper River map area (East Arnhem Land NT SD53-11),
00351cz  a2200121   4500,XX363,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX363,AIAS,,,,Numbulwar / Rose River (East Arnhem Land SD53-11),Rose River (East Arnhem Land SD53-11),g,Roper River map area (East Arnhem Land NT SD53-11),
00282cz  a2200109   4500,XX364,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX364,AIAS,,,,Umajbar (East Arnhem Land SD53-11),,g,Roper River map area (East Arnhem Land NT SD53-11),
00281cz  a2200109   4500,XX365,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX365,AIAS,,,,Wiyayi (East Arnhem Land SD53-11),,g,Roper River map area (East Arnhem Land NT SD53-11),
00287cz  a2200109   4500,XX366,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX366,AIAS,,,,Wuruynguyuna (East Arnhem Land SD53-11),,g,Roper River map area (East Arnhem Land NT SD53-11),
00348cz  a2200121   4500,XX367,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX367,AIAS,,,,Yibagalari / Bugaleri (East Arnhem Land SD53-11),Bugaleri (East Arnhem Land SD53-11),g,Roper River map area (East Arnhem Land NT SD53-11),
00501cz  a2200121   4500,XX368,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX368,AIAS,,,,Northern Territory Top End (NT),,g,Northern Territory (NT),
00266cz  a2200109   4500,XX369,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX369,AIAS,,,,Fog Bay map area (NT Top End SD52-03),,g,Northern Territory Top End (NT),
00427cz  a2200145   4500,XX370,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX370,AIAS,,,,Duin / Quail Island (NT Top End SD52-03),Dooin Island (NT Top End SD52-03);Dooenda Island (NT Top End SD52-03);Quail Island (NT Top End SD52-03),g,Fog Bay map area (NT Top End SD52-03),
00268cz  a2200109   4500,XX371,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX371,AIAS,,,,Grose Island (NT Top End SD52-03),,g,Fog Bay map area (NT Top End SD52-03),
00317cz  a2200121   4500,XX372,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX372,AIAS,,,,Point Blaze (NT Top End SD52-03),"Blaze, Point (NT Top End SD52-03)",g,Fog Bay map area (NT Top End SD52-03),
00265cz  a2200109   4500,XX373,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX373,AIAS,,,,Darwin map area (NT Top End SD52-04),,g,Northern Territory Top End (NT),
00355cz  a2200121   4500,XX375,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX375,AIAS,,,,Belyuen / Delissaville (Cox Peninsula NT Top End SD52-04),Delissaville (Cox Peninsula NT Top End SD52-04),g,Darwin map area (NT Top End SD52-04),
00263cz  a2200109   4500,XX376,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX376,AIAS,,,,Berrimah (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00261cz  a2200109   4500,XX377,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX377,AIAS,,,,Darwin (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00267cz  a2200109   4500,XX378,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX378,AIAS,,,,Darwin River (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00275cz  a2200109   4500,XX379,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX379,AIAS,,,,Dum-in-Mirrie Island (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00281cz  a2200109   4500,XX380,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX380,AIAS,,,,Escape Cliffs / Palmerston (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00268cz  a2200109   4500,XX381,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX381,AIAS,,,,Finniss River (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00265cz  a2200109   4500,XX382,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX382,AIAS,,,,Hope Inlet (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00269cz  a2200109   4500,XX383,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX383,AIAS,,,,Howard Springs (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00261cz  a2200109   4500,XX384,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX384,AIAS,,,,Kahlin (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00327cz  a2200121   4500,XX385,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX385,AIAS,,,,Kenbi / Cox Peninsula (NT Top End SD52-04),Cox Peninsula (NT Top End SD52-04),g,Darwin map area (NT Top End SD52-04),
00270cz  a2200109   4500,XX387,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX387,AIAS,,,,Knuckeys Lagoon (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00313cz  a2200121   4500,XX388,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX388,AIAS,,,,Kulaluk / Bagot (NT Top End SD52-04),Bagot (NT Top End SD52-04),g,Darwin map area (NT Top End SD52-04),
00275cz  a2200109   4500,XX389,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX389,AIAS,,,,Madbil (Cox Peninsula NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00265cz  a2200109   4500,XX390,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX390,AIAS,,,,Manton Dam (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00263cz  a2200109   4500,XX391,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX391,AIAS,,,,Marrakai (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00265cz  a2200109   4500,XX392,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX392,AIAS,,,,Mary River (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00274cz  a2200109   4500,XX393,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX393,AIAS,,,,Myilly Point (Darwin NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00263cz  a2200109   4500,XX394,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX394,AIAS,,,,Noonamah (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00272cz  a2200109   4500,XX395,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX395,AIAS,,,,Palmerston (Darwin NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00318cz  a2200121   4500,XX396,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX396,AIAS,,,,Point Stuart (NT Top End SD52-04),"Stuart, Point (NT Top End SD52-04)",g,Darwin map area (NT Top End SD52-04),
00267cz  a2200109   4500,XX397,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX397,AIAS,,,,Sampan Creek (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00265cz  a2200109   4500,XX398,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX398,AIAS,,,,Tree Point (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00269cz  a2200109   4500,XX399,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX399,AIAS,,,,Vernon Islands (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00335cz  a2200121   4500,XX400,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX400,AIAS,,,,"Wadyiginy / Wagait (NT Top End SD52-03, SD52-04)","Wagait (NT Top End SD52-03, SD52-04)",g,Darwin map area (NT Top End SD52-04),
00322cz  a2200121   4500,XX401,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX401,AIAS,,,,Wariuk / Humpty Doo (NT Top End SD52-04),Humpty Doo (NT Top End SD52-04),g,Darwin map area (NT Top End SD52-04),
00268cz  a2200109   4500,XX402,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX402,AIAS,,,,Wildman River (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00262cz  a2200109   4500,XX403,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX403,AIAS,,,,Woolner (NT Top End SD52-04),,g,Darwin map area (NT Top End SD52-04),
00269cz  a2200109   4500,XX404,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX404,AIAS,,,,Cape Scott map area (NT Top End SD52-07),,g,Northern Territory Top End (NT),
00268cz  a2200109   4500,XX405,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX405,AIAS,,,,Anson Bay (NT Top End SD52-07),,g,Cape Scott map area (NT Top End SD52-07),
00352cz  a2200121   4500,XX406,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX406,AIAS,,,,Armatill / Hermit Hill (Daly River NT Top End SD52-07),Hermit Hill (Daly River NT Top End SD52-07),g,Cape Scott map area (NT Top End SD52-07),
00276cz  a2200109   4500,XX407,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX407,AIAS,,,,Barada (Daly River NT Top End SD52-07),,g,Cape Scott map area (NT Top End SD52-07),
00316cz  a2200121   4500,XX408,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX408,AIAS,,,,Cape Ford (NT Top End SD52-07),"Ford, Cape (NT Top End SD52-07)",g,Cape Scott map area (NT Top End SD52-07),
00270cz  a2200109   4500,XX409,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX409,AIAS,,,,Dilke Range (NT Top End SD52-07),,g,Cape Scott map area (NT Top End SD52-07),
00285cz  a2200109   4500,XX410,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX410,AIAS,,,,Elizabeth Downs (Daly River NT Top End SD52-07),,g,Cape Scott map area (NT Top End SD52-07),
00271cz  a2200109   4500,XX411,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX411,AIAS,,,,Peron Island (NT Top End SD52-07),,g,Cape Scott map area (NT Top End SD52-07),
00283cz  a2200109   4500,XX412,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX412,AIAS,,,,Woodykupildja (Daly River NT Top End SD52-07),,g,Cape Scott map area (NT Top End SD52-07),
00275cz  a2200109   4500,XX413,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX413,AIAS,,,,Yarar (Daly River NT Top End SD52-07),,g,Cape Scott map area (NT Top End SD52-07),
00269cz  a2200109   4500,XX414,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX414,AIAS,,,,Pine Creek map area (NT Top End SD52-08),,g,Northern Territory Top End (NT),
00273cz  a2200109   4500,XX415,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX415,AIAS,,,,Adelaide River (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00275cz  a2200109   4500,XX416,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX416,AIAS,,,,Adelaide Station (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00273cz  a2200109   4500,XX417,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX417,AIAS,,,,Ban Ban Spring (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00268cz  a2200109   4500,XX418,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX418,AIAS,,,,Batchelor (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00267cz  a2200109   4500,XX419,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX419,AIAS,,,,Coomalie (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00269cz  a2200109   4500,XX420,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX420,AIAS,,,,Daly River (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00269cz  a2200109   4500,XX421,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX421,AIAS,,,,Fish River (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00270cz  a2200109   4500,XX422,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX422,AIAS,,,,Hayes Creek (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00271cz  a2200109   4500,XX423,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX423,AIAS,,,,Kybrook Farm (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00280cz  a2200109   4500,XX424,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX424,AIAS,,,,Litchfield (Daly River NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00322cz  a2200121   4500,XX425,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX425,AIAS,,,,Mount Bundey (NT Top End SD52-08),"Bundey, Mount (NT Top End SD52-08)",g,Pine Creek map area (NT Top End SD52-08),
00326cz  a2200121   4500,XX426,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX426,AIAS,,,,Mount Ringwood (NT Top End SD52-08),"Ringwood, Mount (NT Top End SD52-08)",g,Pine Creek map area (NT Top End SD52-08),
00269cz  a2200109   4500,XX427,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX427,AIAS,,,,Pine Creek (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00273cz  a2200109   4500,XX428,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX428,AIAS,,,,Reynolds River (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00269cz  a2200109   4500,XX429,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX429,AIAS,,,,Rum Jungle (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00275cz  a2200109   4500,XX430,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX430,AIAS,,,,Tabletop Station (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00268cz  a2200109   4500,XX431,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX431,AIAS,,,,Tipperary (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00268cz  a2200109   4500,XX432,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX432,AIAS,,,,Woolianna (NT Top End SD52-08),,g,Pine Creek map area (NT Top End SD52-08),
00269cz  a2200109   4500,XX433,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX433,AIAS,,,,Port Keats map area (NT Top End SD52-11),,g,Northern Territory Top End (NT),
00278cz  a2200109   4500,XX434,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX434,AIAS,,,,"Hyland Bay (NT Top End SD52-07, SD52-11)",,g,Port Keats map area (NT Top End SD52-11),
00282cz  a2200109   4500,XX435,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX435,AIAS,,,,Kimul (Fitzmaurice River NT Top End SD52-11),,g,Port Keats map area (NT Top End SD52-11),
00289cz  a2200109   4500,XX436,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX436,AIAS,,,,Kirindjingin (Fitzmaurice River NT Top End SD52-11),,g,Port Keats map area (NT Top End SD52-11),
00295cz  a2200109   4500,XX437,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX437,AIAS,,,,Madjellindi Valley (Fitzmaurice River NT Top End SD52-11),,g,Port Keats map area (NT Top End SD52-11),
